Country,RGI_ID,GLIMS_ID,Glacier_Name,Number of dated surges,CENLAT,CENLON,AREA,ZMIN,ZMAX,ZMED,SLOPE,ASPECT,LMAX
Canada,RGI50-01.16075,G219954E61398N,4*9CAT31,0,61.398,-140.046,0.957,2147,2757,2490,21,102,2000
Canada,RGI50-01.16110,G220027E61147N,4*9CAR86,0,61.14691162,-139.9727783,41.61,1553,3666,2664,22,31,15389
Canada,RGI50-01.16110,G220027E61147N,4*9CAR87,0,61.14691162,-139.9727783,41.61,1553,3666,2664,22,31,15389
Canada,RGI50-01.16110,G220027E61147N,4*9CAR88,0,61.14691162,-139.9727783,41.61,1553,3666,2664,22,31,15389
Canada,RGI50-01.16110,G220027E61147N,4*9CAR89,0,61.14691162,-139.9727783,41.61,1553,3666,2664,22,31,15389
Canada,RGI50-01.16110,G220027E61147N,4*9CAR91,0,61.14691162,-139.9727783,41.61,1553,3666,2664,22,31,15389
Canada,RGI50-01.16110,G220027E61147N,4*9CAR92,0,61.14691162,-139.9727783,41.61,1553,3666,2664,22,31,15389
Canada,RGI50-01.16110,G220027E61147N,Little Spring 4*9CAR94,0,61.14691162,-139.9727783,41.61,1553,3666,2664,22,31,15389
Canada,RGI50-01.16110,G220027E61147N,Spring West 4*9CAR102,0,61.14691162,-139.9727783,41.61,1553,3666,2664,22,31,15389
Alaska,RGI50-01.16110,G220027E61147N,Unnamed PA1969 123,0,61.14691162,-139.9727783,41.61,1553,3666,2664,22,31,15389
Canada,RGI50-01.16112,G220191E61109N,4*9CAR21,0,61.109,-139.809,0.919,1971,2921,2558,31,336,1965
Canada,RGI50-01.16120,G220176E61169N,4*9CAR82,0,61.169,-139.824,1.85,1802,3242,2348,31,41,3645
Canada,RGI50-01.16121,G221531E59902N,4*8ABC3,0,59.902,-138.469,592.219,209,2751,1135,10,78,69741
Canada,RGI50-01.16121,G221531E59902N,Tweedsmuir,4,59.902,-138.469,592.219,209,2751,1135,10,78,69741
Canada,RGI50-01.16122,G221417E60065N,4*8ABE10,0,60.06517792,-138.5828705,440.917,417,4567,1379,9,85,80951
