Randoplh32,Region,Glacier_Na,CentLAT,CentLON
RGI32-01.18550,Alaska-Yukon,LittleChitistone2,61.547001,-142.072998
RGI32-01.18565,Alaska-Yukon,Sheep,61.6413,-141.602996999999
RGI32-01.18578,Alaska-Yukon,4*9CBF115,61.4956019999999,-140.936004999999
RGI32-01.18582,Alaska-Yukon,4*9CBE57,61.3590999999999,-140.520996
RGI32-01.18583,Alaska-Yukon,CountSouth4*9CBF6,61.388401,-140.522995
RGI32-01.18587,Alaska-Yukon,4*9CBF70,61.3955989999999,-140.800003
RGI32-01.18588,Alaska-Yukon,4*9CBF60,61.3811,-140.742004
RGI32-01.18589,Alaska-Yukon,4*9CBF61,61.3862,-140.763001
RGI32-01.18595,Alaska-Yukon,4*9CBF103,61.3917009999999,-141.085006999999
RGI32-01.18607,Alaska-Yukon,Ewe,61.0428009999999,-141.268004999999
RGI32-01.18620,Alaska-Yukon,Alberta,60.9410019999999,-140.820007
RGI32-01.18639,Alaska-Yukon,ChitinaSouthtrib,60.9607999999999,-141.201996
RGI32-01.18648,Alaska-Yukon,YukonC,60.9966009999999,-141.072005999999
RGI32-01.18766,Alaska-Yukon,Russell,61.4981,-141.809006
RGI32-01.18777,Alaska-Yukon,Brooke4*9CBG10,61.5173989999999,-140.927001999999
RGI32-01.18792,Alaska-Yukon,MountGeorgeWest,61.0491979999999,-141.033997
RGI32-01.18836,Alaska-Yukon,LittleHawkins,61.287998,-141.826996
RGI32-01.18841,Alaska-Yukon,MountBarnard,61.1338999999999,-141.679993
RGI32-01.18850,Alaska-Yukon,4*9CBG11,61.497002,-140.895996
RGI32-01.18852,Alaska-Yukon,Ram,61.071499,-141.348998999999
RGI32-01.18882,Alaska-Yukon,Giffin,61.5704989999999,-141.462997
RGI32-01.18891,Alaska-Yukon,BrabazonB4*9CBF28,61.3731,-140.574005
RGI32-01.18892,Alaska-Yukon,BrabazonA??4*9CBF27,61.3800999999999,-140.591995
RGI32-01.18895,Alaska-Yukon,Lambart4*9CBF110G140962W61499N,61.4990999999999,-140.962997
RGI32-01.18896,Alaska-Yukon,MountNatazhat4*9CBG16,61.516998,-141.044997999999
RGI32-01.18897,Alaska-Yukon,4*9CBF108,61.4949,-141.026993
RGI32-01.18929,Alaska-Yukon,LittleHuberts,61.046101,-141.507003999999
RGI32-01.18987,Alaska-Yukon,Baldwin-Fraser,60.7598989999999,-141.292999
RGI32-01.18991,Alaska-Yukon,Alcan2,60.802399,-140.587997
RGI32-01.18994,Alaska-Yukon,Chitistone,61.4575999999999,-142.031997999999
RGI32-01.19020,Alaska-Yukon,ChitinaSouthTrib2,60.948002,-141.018997
RGI32-01.19042,Alaska-Yukon,Anderson,61.115898,-140.847
RGI32-01.19046,Alaska-Yukon,Russelleasttrib,61.5998,-141.75
RGI32-01.19047,Alaska-Yukon,MountSulzerNorth,61.588901,-141.690001999999
RGI32-01.19049,Alaska-Yukon,G141203W61526N,61.5460009999999,-141.197998
RGI32-01.19051,Alaska-Yukon,CountNorth4*9CBF11,61.415402,-140.556
RGI32-01.19287,Alaska-Yukon,UnnamedPA1969143,59.7346,-150.108002
RGI32-01.20319,Alaska-Yukon,UnnamedPA196996,60.614899,-152.763001
RGI32-01.20656,Alaska-Yukon,ShamrockWesternbranch,61.0654979999999,-152.824997
RGI32-01.20859,Alaska-Yukon,UnnamedPA1969147,60.945801,-153.098007
RGI32-01.20958,Alaska-Yukon,UnnamedPA196999,60.791699,-152.604996
RGI32-01.20962,Alaska-Yukon,UnnamedPA196998,60.934502,-152.871002
RGI32-01.20982,Alaska-Yukon,UnnamedPA196997,60.7489009999999,-152.768997
RGI32-01.21025,Alaska-Yukon,UnnamedPA1969101,60.7807999999999,-153.475006
RGI32-01.21078,Alaska-Yukon,UnnamedPA196995,60.6109999999999,-152.813004
RGI32-01.21112,Alaska-Yukon,UnnamedPA196994,60.5232999999999,-152.791
RGI32-01.21128,Alaska-Yukon,UnnamedPA196993,60.4949,-152.671997
RGI32-01.21133,Alaska-Yukon,UnnamedPA196992,60.4679989999999,-152.783005
RGI32-01.21137,Alaska-Yukon,UnnamedPA1969146,60.4393999999999,-153.313995
RGI32-01.21143,Alaska-Yukon,UnnamedPA196990,60.420299,-153.253998
RGI32-01.21153,Alaska-Yukon,UnnamedPA196991,60.3945999999999,-153.296997
RGI32-01.21198,Alaska-Yukon,UnnamedPA196989,60.1441,-153.507003999999
RGI32-01.21242,Alaska-Yukon,TuxedniIliamna,60.1241989999999,-153.102996999999
