rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,primeclass,conn_lvl,glac_name,is_rgi6,cenlon,cenlat,termlon,termlat,area_km2,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,lmax_m,surge_type
RGI2000-v7.0-G-01-04293,01,01-02,G209181E62791N,397045,624,2010-09-12T00:00:00,0,0,Tokositna Glacier,1,-150.96347143958332,62.826654000000005,,,204.34147922737117,,,,,,,,2.0
RGI2000-v7.0-G-01-04294,01,01-02,G209052E62853N,396981,624,2010-09-12T00:00:00,0,0,,1,-150.94829074097333,62.854161,,,0.343244772409459,,,,,,,,2.0
RGI2000-v7.0-G-01-04295,01,01-02,G209067E62854N,396995,624,2010-09-12T00:00:00,0,0,,1,-150.9334275,62.853563,,,0.533095242807526,,,,,,,,2.0
RGI2000-v7.0-G-01-04296,01,01-02,G209082E62857N,397008,624,2010-09-12T00:00:00,0,0,,1,-150.91899208872303,62.8572895,,,0.19053390868605,,,,,,,,2.0
RGI2000-v7.0-G-01-04309,01,01-02,G209301E62921N,397132,624,2010-09-12T00:00:00,0,0,,1,-150.6177750238615,62.8805095,,,335.9355423168349,,,,,,,,1.0
RGI2000-v7.0-G-01-04359,01,01-02,G209706E63101N,397302,624,2010-09-12T00:00:00,0,0,,1,-150.29676754472266,63.076653,,,406.1283796492511,,,,,,,,3.0
RGI2000-v7.0-G-01-04363,01,01-02,G209648E63132N,397398,624,2010-09-12T00:00:00,0,0,,1,-150.35808375178237,63.1306235,,,0.21118454281888,,,,,,,,3.0
RGI2000-v7.0-G-01-04364,01,01-02,G209698E63156N,397422,624,2010-09-12T00:00:00,0,0,,1,-150.30204801666667,63.155479,,,0.194796541398174,,,,,,,,3.0
RGI2000-v7.0-G-01-04365,01,01-02,G209681E63165N,397414,624,2010-09-12T00:00:00,0,0,,1,-150.31969570841596,63.1649045,,,0.176998501808443,,,,,,,,3.0
RGI2000-v7.0-G-01-04368,01,01-02,G209646E63180N,397396,624,2010-09-12T00:00:00,0,0,,1,-150.35397325,63.180262,,,0.278917734560661,,,,,,,,3.0
RGI2000-v7.0-G-01-04369,01,01-02,G209640E63184N,397393,624,2010-09-12T00:00:00,0,0,,1,-150.3603483212144,63.1843135,,,0.066172385650124,,,,,,,,3.0
RGI2000-v7.0-G-01-04370,01,01-02,G209637E63191N,397391,624,2010-09-12T00:00:00,0,0,,1,-150.36270199887645,63.189493,,,0.111967154309913,,,,,,,,3.0
RGI2000-v7.0-G-01-04373,01,01-02,G209697E63240N,397420,624,2010-09-12T00:00:00,0,0,,1,-150.30345545066638,63.240038999999996,,,0.044333435127801,,,,,,,,3.0
RGI2000-v7.0-G-01-04374,01,01-02,G209701E63244N,397425,624,2010-09-12T00:00:00,0,0,,1,-150.29992920546925,63.243942,,,0.179894644107608,,,,,,,,3.0
RGI2000-v7.0-G-01-04375,01,01-02,G209672E63240N,397408,624,2010-09-12T00:00:00,0,0,,1,-150.3293540270347,63.240714,,,0.226106657514685,,,,,,,,3.0
RGI2000-v7.0-G-01-04376,01,01-02,G209624E63248N,397388,624,2010-09-12T00:00:00,0,0,,1,-150.37744754280277,63.2479285,,,0.510682404324916,,,,,,,,3.0
RGI2000-v7.0-G-01-04377,01,01-02,G209613E63245N,397384,624,2010-09-12T00:00:00,0,0,,1,-150.3876856552315,63.2453725,,,0.455175163263259,,,,,,,,3.0
RGI2000-v7.0-G-01-04378,01,01-02,G209605E63241N,397378,624,2010-09-12T00:00:00,0,0,,1,-150.39176564944648,63.2402795,,,0.3432557575215,,,,,,,,3.0
RGI2000-v7.0-G-01-04379,01,01-02,G209582E63233N,397372,624,2010-09-12T00:00:00,0,0,,1,-150.41724818846382,63.2333865,,,0.626092771213196,,,,,,,,3.0
RGI2000-v7.0-G-01-04380,01,01-02,G209578E63228N,397370,624,2010-09-12T00:00:00,0,0,,1,-150.42203418942512,63.22766,,,0.179657522836233,,,,,,,,3.0
RGI2000-v7.0-G-01-04381,01,01-02,G209580E63221N,397371,624,2010-09-12T00:00:00,0,0,,1,-150.42026734447302,63.220469,,,0.259792820830008,,,,,,,,3.0
RGI2000-v7.0-G-01-04382,01,01-02,G209575E63214N,397367,624,2010-09-12T00:00:00,0,0,,1,-150.4254451585037,63.2140925,,,0.24637277431445,,,,,,,,3.0
RGI2000-v7.0-G-01-04383,01,01-02,G209556E63211N,397343,624,2010-09-12T00:00:00,0,0,,1,-150.44314270851845,63.2108955,,,1.212346635311476,,,,,,,,3.0
RGI2000-v7.0-G-01-04384,01,01-02,G209541E63214N,397329,624,2010-09-12T00:00:00,0,0,,1,-150.45852059279147,63.21319750000001,,,0.46478369825235,,,,,,,,3.0
RGI2000-v7.0-G-01-04385,01,01-02,G209489E63211N,397300,624,2010-09-12T00:00:00,0,0,,1,-150.5098850395394,63.210683,,,0.52121694088917,,,,,,,,3.0
RGI2000-v7.0-G-01-04386,01,01-02,G209485E63204N,397294,624,2010-09-12T00:00:00,0,0,,1,-150.5149246450151,63.203587999999996,,,0.197423229318051,,,,,,,,3.0
